COD_PROV;PROVINCIA;COD_CA;COMUNIDAD_AUTONOMA;CAPITAL
01;Araba/alava;16;Pais Vasco/Euskadi;Vitoria-Gasteiz
02;Albacete;08;Castilla-La Mancha;Albacete
03;Alacant/Alicante;10;Comunitat Valenciana;Alacant/Alicante
04;Almeria;01;Andalucia;Almeria
05;avila;07;Castilla y Leon;avila
06;Badajoz;11;Extremadura;Badajoz
07;Illes Balears;04;Illes Balears;Palma
08;Barcelona;09;Catalunya/Catalunya;Barcelona
09;Burgos;07;Castilla y Leon;Burgos
10;Caceres;11;Extremadura;Caceres
11;Cadiz;01;Andalucia;Cadiz
12;Castello/Castellon;10;Comunitat Valenciana;Castello de la Plana
13;Ciudad Real;08;Castilla-La Mancha;Ciudad Real
14;Cordoba;01;Andalucia;Cordoba
15;A Corunya;12;Galicia;A Corunya
16;Cuenca;08;Castilla-La Mancha;Cuenca
17;Girona;09;Catalunya/Catalunya;Girona
18;Granada;01;Andalucia;Granada
19;Guadalajara;08;Castilla-La Mancha;Guadalajara
20;Gipuzkoa;16;Pais Vasco/Euskadi;Donostia/San Sebastian
21;Huelva;01;Andalucia;Huelva
22;Huesca;02;Aragon;Huesca
23;Jaen;01;Andalucia;Jaen
24;Leon;07;Castilla y Leon;Leon
25;Lleida;09;Catalunya/Catalunya;Lleida
26;La Rioja;17;La Rioja;Logronyo
27;Lugo;12;Galicia;Lugo
28;Madrid;13;Comunidad de Madrid;Madrid
29;Malaga;01;Andalucia;Malaga
30;Murcia;14;Region de Murcia;Murcia
31;Navarra;15;Comunidad Foral de Navarra;Pamplona/Irunya
32;Ourense;12;Galicia;Ourense
33;Asturias;03;Principado de Asturias;Oviedo
34;Palencia;07;Castilla y Leon;Palencia
35;Las Palmas;05;Canarias;Las Palmas de Gran Canaria
36;Pontevedra;12;Galicia;Pontevedra
37;Salamanca;07;Castilla y Leon;Salamanca
38;Santa Cruz de Tenerife;05;Canarias;Santa Cruz de Tenerife
39;Cantabria;06;Cantabria;Santander
40;Segovia;07;Castilla y Leon;Segovia
41;Sevilla;01;Andalucia;Sevilla
42;Soria;07;Castilla y Leon;Soria
43;Tarragona;09;Catalunya/Catalunya;Tarragona
44;Teruel;02;Aragon;Teruel
45;Toledo;08;Castilla-La Mancha;Toledo
46;Valencia/Valencia;10;Comunitat Valenciana;Valencia
47;Valladolid;07;Castilla y Leon;Valladolid
48;Bizkaia;16;Pais Vasco/Euskadi;Bilbao
49;Zamora;07;Castilla y Leon;Zamora
50;Zaragoza;02;Aragon;Zaragoza
51;Ceuta;18;Ciudad Autonoma de Ceuta;Ceuta
52;Melilla;19;Ciudad Autonoma de Melilla;Melilla